"","FreshMass","DryMass","WaterContent","LeafArea","Perimeter","AspectRatio","Circularity","Solidity","LMA","LaminaThickness","LaminaDensity","LaminaToughness","ChlorophyllContent._SPAD","ChlorophyllContent_areabasis","ChlorophyllContent_massbasis","TrichomeDensity","AshContent","TotalPhenolics","TotalFlavonoids"
"PPN_167",2.68,0.37849005380655,5.91475299172735,87.48,51.42,1.25,0.41,0.85,44.6581401963959,0.34,0.129392932095355,26.23,36.67,396.42,9.46471384015964,569.33,11.2,1.92,2.06
"PPN_168",2.18,0.308645799017775,6.20198696433779,64.71,48.25,1.32,0.35,0.77,47.4510946009351,0.34,0.139099252849194,30.23,37.67,413.02,9.35735501980614,341.33,13.2,1.53,1.79
"PPN_169",3.33,0.491878440420843,5.2132905494139,94.68,57.25,1.33,0.39,0.83,55.7349309488546,0.38,0.145242168018872,31.67,36.27,389.41,7.05889447218823,630.67,10.1,1.86,1.73
"PPN_170",2.55,0.398802796504282,4.80827139922839,73.96,51.58,1.25,0.35,0.81,55.8686084089004,0.39,0.142046050666587,28.67,33.67,346.62,6.03774505611045,596,10.03,1.8,1.7
"PPN_171",2.05,0.255556788071756,7.41176662719638,74.45,48.45,1.39,0.41,0.83,33.3896967316399,0.39,0.0873745895134378,23,36.07,386.39,12.0092573830975,645.33,15.45,1.34,1.63
"PPN_172",1.76,0.220087642375918,8.21945767830624,87.01,52.33,1.42,0.4,0.81,22.2730609992187,0.33,0.0784351208787936,27.1,43.47,528.73,16.7752550166174,573.33,11.55,1.6,2.13
"PPN_173",2.42,0.274029314297463,7.9151215348302,73.83,48.12,1.4,0.41,0.81,34.5313049258373,0.3,0.118577728656149,23.2,38.2,423.31,12.8752673794314,497.33,16.65,0.86,1.74
"PPN_174",2.46,0.424264300178862,3.6910140871368,67.2,47.41,1.39,0.38,0.82,64.3730614386703,0.36,0.172181850694786,32.33,38.93,438.33,6.11595298236339,638.67,7.8,1.94,1.54
"PPN_175",3.02,0.459522954474978,4.53808504450201,88.19,55.46,1.26,0.36,0.85,56.0766546509811,0.4,0.139631039955271,32.67,37.83,416.19,6.91123084478549,690.67,11.57,2.76,2.47
"PPN_176",2.37,0.32632944431025,6.10753031480769,67.26,41.81,1.51,0.46,0.83,48.8718460121575,0.38,0.131312530322036,29.57,46.67,588.07,12.7564035552478,654.67,14.3,1.66,1.75
