"","FLAVPHEN_PC1","FLAVPHEN_PC2","LES_PC1","LES_PC2","LES_PC3","LES_PC4","LES_PC5","LES_PC6","LES_PC7","LES_PC8","LES_PC9","LES_PC10"
"PPN_011",0.474695327947624,-0.331298581833485,2.02518973672783,0.686090730898785,0.602912969296046,0.805825054164624,0.521653823326901,0.212597623825792,0.774435679892581,0.00525495339307023,0.600585029207297,0.177194984132867
"PPN_012",0.390152894179558,0.429187368101017,-0.20937203900457,2.56145172903526,1.14417810256004,-1.47572442205311,1.03269263991043,-0.794154005908239,0.235430381423079,0.180043339162684,0.763656150363166,-0.228268399217184
"PPN_013",-0.366682604454071,-0.382166090771487,2.43522307071301,1.49940817155201,0.419258358824699,-1.02098857036675,0.503048062250015,1.21899810782067,-0.118004014656372,-0.776524138365128,-0.258843990685757,0.276663278946846
"PPN_014",0.744519635732248,0.0748206265483273,2.00452278144569,2.8412727355867,0.774907356868486,-2.43349448928946,-1.68351299497823,0.193664175523378,-0.868322985654576,-0.263559909448175,1.18170409764984,0.340977231270799
"PPN_015",0.798263257816392,0.210341188990784,0.915844385735966,2.10501028250087,-0.891034087487766,-0.419112530860457,1.94721721428709,0.814671585682131,-0.198970861765949,-0.843725624591179,-0.525787205826798,0.00371577862864628
"PPN_016",-0.465960725645757,0.66343295305321,-0.161141635127357,0.816925360909131,0.177724256305139,-0.0808762039449937,0.178787161253366,0.0774024426318265,0.0498759240278178,0.125741278596779,0.0984320357280783,0.0217759565944575
"PPN_017",0.0116245251263531,0.0506589990478129,1.66819857024368,0.481357654853073,-0.804753268023086,0.10484081422515,-0.401919171682609,1.18758166586429,0.667372024494655,-0.64811733421215,0.700174985978186,-0.0331243138906835
"PPN_018",-0.911198488424484,0.000123349318981614,1.2080213523753,1.18087328064836,-1.6613790409872,0.526311049471786,-0.258673455472475,1.49038403514613,-0.524007973231081,0.589820931050711,0.0954787987163855,-0.354122053581744
"PPN_019",0.0396578434005216,-0.166638503752958,1.94374132678883,2.35089760208932,-1.88030326360931,-0.77274667837312,1.63386209499988,1.34749843548173,0.934991015845708,1.27997730836413,0.352052261509053,-0.316183611628165
"PPN_020",-0.680935213982335,0.12135070328338,0.237996898885824,2.35302111338196,-3.44591829360341,-1.10021576184921,1.29611400599494,0.668147808083153,0.194071348332773,1.21103678051847,2.14943216981635,0.200638362379312
"PPN_021",-0.585528783564303,0.025944272865348,-0.131947393796163,1.41526018064874,-2.24138165204892,-0.399226684498208,1.73726917722684,-1.3090052406825,-0.378501225146921,0.462162945817507,0.53758483864445,0.42206579635232
"PPN_022",-0.353274353867133,-0.34149886006511,1.72972616168405,1.21105996451438,-1.34504710016235,0.68380621351771,-0.755379929432237,-1.26229446582554,-0.473034281941416,0.330943062371687,0.244928356398097,0.182447340885715
"PPN_023",-0.273931047709402,0.173988128003623,2.90608620797854,2.05937669279526,-2.23566456858628,1.0922218958857,-0.554957897885752,-0.250581824821413,0.0332036315854719,0.594010212479902,0.948459492655857,-0.0410299225432393
"PPN_024",2.34925963121459,-0.664711668240975,3.78358472491522,1.08501472148113,-0.748887212531035,1.13668887269695,-1.82040844253026,0.0979487048527507,1.51888672298422,-0.142068200805609,-0.0815840080642454,0.524956710487577
"PPN_025",1.0439259381005,-0.116434713233297,0.406962732288101,1.10234828038117,-1.71703656747626,1.74504118481551,0.181986025797635,0.275849763790906,0.363303276991275,0.513263065007286,-0.704441312521285,-0.245743503061056
"PPN_026",-0.65544614964514,0.528465489292703,0.0548733076367296,2.71040641766913,-2.84609269987622,1.19663518733912,1.05455060682648,-0.515504290073398,0.0923858853579992,-1.11569308310862,-0.184374753361227,-0.0688873720880009
"PPN_027",0.679580157788967,-0.644334374261458,0.728205937427294,0.505550965337528,-0.746823300491604,-2.35288469278713,-0.440612890748005,-0.379583618728144,-0.425027736745337,0.427974992324494,0.137070634926368,-0.502437088908212
"PPN_028",-0.64071046222152,0.243352395402508,3.81104075322832,-0.943010799816122,-0.324641091013746,-0.143463660334829,1.57558377397922,0.585351492468196,0.47228589287698,-0.515827226129384,0.413926338752824,0.0876219033528242
