"","PEAKAREAS_PC1","PEAKAREAS_PC2","PEAKAREAS_PC3","PEAKAREAS_PC4","PEAKAREAS_PC5","PEAKAREAS_PC6","PEAKAREAS_PC7","PEAKAREAS_PC8","PEAKAREAS_PC9","PEAKAREAS_PC10","PeakAreas200_PC1","PeakAreas200_PC2","PeakAreas200_PC3","PeakAreas200_PC4","PeakAreas200_PC5","PeakAreas200_PC6","PeakAreas200_PC7","PeakAreas200_PC8","PeakAreas200_PC9","PeakAreas200_PC10","RelativeRatios_PC1","RelativeRatios_PC2","RelativeRatios_PC3","RelativeRatios_PC4","RelativeRatios_PC5","RelativeRatios_PC6","RelativeRatios_PC7","RelativeRatios_PC8","RelativeRatios_PC9","RelativeRatios_PC10","RelativeRatios200_PC1","RelativeRatios200_PC2","RelativeRatios200_PC3","RelativeRatios200_PC4","RelativeRatios200_PC5","RelativeRatios200_PC6","RelativeRatios200_PC7","RelativeRatios200_PC8","RelativeRatios200_PC9","RelativeRatios200_PC10"
"PPN_163",2.61212527901866,0.0576611040948887,-1.30984288450985,-0.841315447807144,0.477201033241362,0.413718949984785,-0.591281528664238,-0.429505569073739,0.689569458266477,0.31450790741818,-2.18199595856905,-0.43364449329722,0.0372469325354349,-0.28137606725848,0.698554099229193,-0.188152811536579,0.0875129185768282,0.569281492256109,0.313336725829577,-0.147296668703911,2.61212527901866,0.0576611040948962,-1.30984288450985,-0.841315447807138,0.477201033241378,0.413718949984782,-0.591281528664247,-0.429505569073736,0.689569458266456,0.314507907418201,-2.18199595856905,-0.433644493297221,0.0372469325354337,-0.281376067258481,0.698554099229191,-0.188152811536587,0.0875129185768259,0.569281492256121,0.313336725829563,-0.14729666870391
"PPN_164",0.201521236627467,2.81235787021627,-1.46159660039581,0.852421137454963,1.97379841937022,0.763547100947128,-1.72803618329541,-2.11221169533087,1.13640749050697,-2.2830581115734,1.02507438756844,-2.3574344561955,-0.298117497227083,-0.0975705199198556,1.23140793658979,-0.571898134129257,-0.481129353023482,0.255955380804395,1.31060873906469,0.331971412541325,0.20152123662746,2.81235787021628,-1.4615966003958,0.852421137454973,1.97379841937021,0.763547100947125,-1.72803618329541,-2.11221169533087,1.13640749050704,-2.28305811157337,1.02507438756845,-2.35743445619551,-0.298117497227086,-0.0975705199198527,1.23140793658978,-0.57189813412927,-0.481129353023487,0.255955380804434,1.31060873906468,0.331971412541328
"PPN_165",-1.78130952778617,2.82780597551688,-1.95115055035741,0.0936477642417234,2.32550468945426,-0.0295861837175698,-1.8124522725231,-2.1525788679023,1.49690903607511,-2.30775669568101,3.05714168086709,-0.831344800161229,-0.931802207168223,1.09864988092071,1.22736961980607,-0.0410066351317515,-0.102913128862397,0.057878197514136,1.69166417271516,-0.0866766809507883,-1.78130952778616,2.82780597551689,-1.9511505503574,0.0936477642417392,2.32550468945427,-0.0295861837175767,-1.8124522725231,-2.15257886790231,1.4969090360752,-2.30775669568096,3.05714168086709,-0.831344800161233,-0.93180220716822,1.09864988092071,1.22736961980607,-0.0410066351317698,-0.102913128862402,0.0578781975141885,1.69166417271516,-0.0866766809507938
"PPN_166",3.1686972633625,-0.28170891705464,-1.45932801583279,-0.820945567386346,0.950219129283363,-0.894517803916042,-0.371713190718033,-1.09595884552049,-0.459247886485174,-0.31710978573229,-2.49215643182418,-1.12156951773904,-0.523536247579269,0.934551612141438,0.367789402277322,0.817907923149765,0.0837993408555583,0.424151188203432,0.601596044388741,-0.076084981110989,3.1686972633625,-0.281708917054639,-1.45932801583279,-0.820945567386335,0.950219129283368,-0.894517803916047,-0.371713190718034,-1.0959588455205,-0.45924788648517,-0.31710978573229,-2.49215643182419,-1.12156951773904,-0.523536247579268,0.934551612141444,0.367789402277328,0.817907923149757,0.0837993408555594,0.424151188203454,0.601596044388728,-0.0760849811109907
"PPN_167",-2.33400603366948,1.30472672510485,-1.85659342005602,-0.0365712339208083,2.8781049631806,0.573432578067088,1.46969578178257,-1.75770887171527,0.777489209204914,-1.08931574824476,2.36088741474609,-0.581833221288214,-0.798274645161986,-0.941864048647688,1.64277069653914,-1.0099283817951,-1.66802306144855,-0.48377471232648,2.17392937110897,-0.113958389557474,-2.33400603366946,1.30472672510486,-1.856593420056,-0.0365712339207873,2.8781049631806,0.573432578067087,1.46969578178255,-1.75770887171529,0.777489209204966,-1.0893157482447,2.36088741474608,-0.581833221288222,-0.798274645161993,-0.94186404864769,1.64277069653913,-1.00992838179511,-1.66802306144855,-0.483774712326415,2.173929371109,-0.113958389557475
"PPN_168",-0.610226464067274,2.94485281337804,-0.647551407612336,-1.55887464202883,1.61540022352981,1.75161430664378,0.441446120175491,-2.61030761122226,1.80475803028728,-0.654625079624813,1.80983800418363,-1.61774780867454,-1.98701323421574,0.200996373402532,1.2651200180592,0.646366608894619,0.557506382242852,0.736989969447316,2.70109285584326,-0.314472500812513,-0.610226464067275,2.94485281337804,-0.647551407612322,-1.55887464202882,1.61540022352982,1.75161430664378,0.441446120175468,-2.61030761122227,1.8047580302873,-0.654625079624731,1.80983800418364,-1.61774780867455,-1.98701323421574,0.20099637340254,1.26512001805921,0.646366608894603,0.557506382242852,0.736989969447389,2.70109285584324,-0.314472500812506
"PPN_169",0.163031959861812,2.38752675838822,-1.66900839183847,-4.82378070325564,-0.573625408074738,1.58052577852668,-2.30795334028472,0.230816682947104,0.104919008487302,-0.444522101540488,0.264154178809911,-2.04802688801626,-0.678245375879035,0.526344946475002,0.578281171372913,-0.0574430119088639,1.30899687338655,1.5906211223174,1.30642976717127,0.0816870452318372,0.163031959861813,2.38752675838822,-1.66900839183846,-4.82378070325566,-0.57362540807467,1.58052577852664,-2.30795334028471,0.230816682947121,0.104919008487296,-0.444522101540497,0.26415417880991,-2.04802688801627,-0.678245375879036,0.526344946475005,0.578281171372911,-0.0574430119088722,1.30899687338656,1.59062112231743,1.30642976717123,0.0816870452318447
"PPN_170",-0.99324333632969,1.91015733243545,-2.08406071565169,-1.63575264724282,4.05042532000614,0.561555034220706,0.05765659971549,-3.34575984358477,1.60623928047592,-3.7261169836102,1.58491718063247,-1.1552630304527,-1.12181146000252,-0.978075160530543,2.59740273249843,-1.46952071478131,-0.255810826446537,0.70476658442482,2.52510763694886,-0.44193294713932,-0.993243336329693,1.91015733243546,-2.08406071565168,-1.63575264724279,4.05042532000615,0.561555034220678,0.0576565997155033,-3.3457598435848,1.60623928047603,-3.72611698361016,1.58491718063247,-1.1552630304527,-1.12181146000252,-0.978075160530539,2.59740273249842,-1.46952071478133,-0.255810826446534,0.704766584424884,2.52510763694885,-0.441932947139306
"PPN_171",3.24598801821617,0.325342321735587,-1.69837510797575,-0.286305489415971,0.464868793700966,0.125913521669473,-0.55559856827834,-0.695802202959547,-0.563772924075488,0.172102848181879,-2.47133489463034,-1.15201913473286,-0.186047527610896,0.705883960813663,0.871663609096429,0.0258512222461263,0.352618646384918,-0.384199200136685,0.966578155054082,-0.237915519672394,3.24598801821617,0.325342321735591,-1.69837510797575,-0.286305489415968,0.464868793700969,0.125913521669471,-0.555598568278339,-0.695802202959546,-0.563772924075493,0.172102848181867,-2.47133489463034,-1.15201913473287,-0.186047527610897,0.705883960813666,0.871663609096428,0.0258512222461201,0.352618646384919,-0.384199200136657,0.966578155054094,-0.237915519672391
"PPN_172",3.62252913210527,-2.30534698058473,-0.564542237639273,-0.36568932204213,0.463686829596852,-0.756220610047592,-0.468107316852472,-0.849657668075391,-0.38123392698239,0.601501801129175,-3.48918868860628,-0.357824402997741,-0.137520576401835,-0.302609711415847,0.214981836696702,0.440400534537865,0.962673717877693,-0.154125369632303,0.875898786035221,0.376324108569538,3.62252913210528,-2.30534698058474,-0.564542237639268,-0.365689322042125,0.463686829596862,-0.756220610047597,-0.468107316852483,-0.849657668075392,-0.381233926982415,0.601501801129174,-3.48918868860628,-0.35782440299774,-0.137520576401836,-0.302609711415844,0.214981836696706,0.440400534537865,0.96267371787769,-0.154125369632274,0.875898786035224,0.376324108569538
"PPN_173",3.73545930267109,-0.519122675809874,-1.11489031921666,-0.491218849508405,0.786816557926979,0.191548897370536,-0.570433615347519,-1.2867078031145,-0.0874679922177324,-0.196974383698005,-3.2540971454365,-0.272052372544934,-0.00990238225261588,0.150790774054122,0.393682518442794,-0.704063232458439,0.208457325013321,0.487573124280667,0.899647273278145,0.0392308035975437,3.7354593026711,-0.519122675809874,-1.11489031921666,-0.491218849508399,0.786816557926987,0.191548897370529,-0.570433615347524,-1.2867078031145,-0.087467992217723,-0.196974383697997,-3.2540971454365,-0.272052372544935,-0.00990238225261834,0.150790774054123,0.39368251844279,-0.704063232458441,0.208457325013319,0.487573124280693,0.89964727327813,0.0392308035975429
"PPN_174",2.95991496093653,1.43317990141353,0.463592372457383,0.455110834992606,-0.395217435743731,-1.07616699529344,0.343010496596551,0.400590047566716,0.299130389039625,0.360330146433365,-1.81499656201879,-1.13946283115821,-0.398545444398853,-0.393036795837574,-0.374640233775713,0.629281743128516,0.135945277153797,0.557019274377585,0.00531131569547315,-0.179863795431844,2.95991496093654,1.43317990141353,0.46359237245738,0.455110834992611,-0.395217435743741,-1.07616699529343,0.343010496596552,0.400590047566715,0.299130389039601,0.360330146433381,-1.81499656201879,-1.13946283115821,-0.398545444398853,-0.393036795837571,-0.374640233775706,0.629281743128519,0.135945277153801,0.557019274377581,0.00531131569545872,-0.179863795431848
"PPN_175",-2.27536946506301,6.47194784784727,3.95186702969921,1.2409788365037,0.220897457739185,0.514258027522498,-2.47400026378483,1.96363728718294,2.67534901516914,-0.100105855556927,4.37637028209373,-3.10696053521445,-1.36357628260599,-2.07208941514397,0.746879158310481,1.92619114510323,-0.647192286317273,-0.517788679805891,0.604549930037257,-3.22418958798089,-2.27536946506301,6.47194784784726,3.95186702969921,1.2409788365037,0.220897457739184,0.514258027522489,-2.47400026378483,1.96363728718296,2.67534901516916,-0.100105855556885,4.37637028209373,-3.10696053521445,-1.36357628260599,-2.07208941514397,0.746879158310506,1.92619114510322,-0.647192286317268,-0.517788679805872,0.60454993003729,-3.2241895879809
"PPN_177",4.01045488545915,0.188352484212557,-0.614853788463235,0.756258837135299,-0.212344978322285,-0.15801312683547,0.48758094424849,0.108317594649216,-0.588200523433729,0.582453697206917,-2.97863104661978,-0.654231298167963,0.979171555516602,-0.0618641338395663,0.171728239920273,0.595863690277104,-0.516671335682536,-0.535848969811104,-0.108943545247559,-0.0579530784487433,4.01045488545915,0.18835248421256,-0.61485378846324,0.756258837135302,-0.212344978322297,-0.158013126835459,0.487580944248484,0.108317594649215,-0.588200523433745,0.582453697206901,-2.97863104661978,-0.654231298167966,0.9791715555166,-0.0618641338395663,0.17172823992028,0.595863690277099,-0.516671335682534,-0.535848969811107,-0.108943545247547,-0.0579530784487474
"PPN_178",-0.025861608334178,3.79798560523413,0.837606839273402,1.26886781530415,0.49794848615445,0.921446900441341,-1.25277434562034,1.50595384309351,0.0306152945913265,0.282132695360982,2.05523830373127,-1.93477956088447,1.03928199964333,-0.177731918577034,-0.060302633188789,1.08583132538916,0.614870930663536,0.286109439240181,-0.408797070545793,-0.824731282892738,-0.0258616083341774,3.79798560523412,0.8376068392734,1.26886781530416,0.497948486154446,0.921446900441337,-1.25277434562033,1.50595384309352,0.0306152945913323,0.28213269536097,2.05523830373127,-1.93477956088448,1.03928199964333,-0.177731918577035,-0.0603026331887761,1.08583132538916,0.614870930663535,0.28610943924018,-0.4087970705458,-0.824731282892737
"PPN_179",4.09035747449156,0.873852570514312,-0.563903907165584,-0.166674530912595,-0.66974863321732,-0.75450057279759,0.7051062854394,0.524582461461713,-0.778574778877335,0.266445054597456,-3.24783231891206,-0.432422879003778,0.287893661283917,0.651856933974237,-0.294147703607618,1.34605674348923,0.141819779825666,0.0150233251031454,-0.655965096196849,-0.239108308131218,4.09035747449156,0.873852570514312,-0.563903907165587,-0.166674530912593,-0.669748633217328,-0.75450057279758,0.705106285439406,0.52458246146171,-0.778574778877343,0.266445054597447,-3.24783231891206,-0.432422879003782,0.287893661283916,0.65185693397424,-0.294147703607606,1.34605674348923,0.141819779825671,0.0150233251031274,-0.655965096196852,-0.239108308131219
"PPN_180",2.00474474520176,3.57170691021137,0.0744571752715621,0.502792371237606,0.782101030949748,0.0201827568379922,-0.951580869619567,-0.0423944203813549,0.200999489094707,-0.383277801188469,-0.158283141744419,-1.98473043886464,-0.205548789302752,-0.233615502340682,0.957535718254338,0.628259403724975,0.0764725170713485,0.208656560475652,0.879343378098723,-0.446304963793957,2.00474474520176,3.57170691021137,0.074457175271563,0.502792371237615,0.782101030949739,0.0201827568379907,-0.951580869619564,-0.042394420381355,0.200999489094729,-0.383277801188463,-0.158283141744421,-1.98473043886464,-0.205548789302755,-0.233615502340678,0.957535718254343,0.62825940372496,0.0764725170713507,0.208656560475674,0.879343378098719,-0.446304963793951
"PPN_181",-2.27865408724616,4.81874591523764,3.88238440999421,0.413454169602794,3.63199055707978,-1.06658785348278,-1.40157642299369,-1.34427919739048,2.35520891746841,1.15813033191787,3.65587356699853,-2.67655847529032,-2.57657267250682,-3.89697529615086,2.40249067427258,-0.551687297873792,-0.36205410512876,2.51916480878154,1.2097321615245,-0.382813935527536,-2.27865408724616,4.81874591523763,3.88238440999424,0.413454169602835,3.63199055707979,-1.06658785348281,-1.4015764229937,-1.34427919739048,2.35520891746831,1.15813033191796,3.65587356699853,-2.67655847529032,-2.57657267250683,-3.89697529615085,2.40249067427257,-0.551687297873811,-0.362054105128748,2.51916480878157,1.20973216152444,-0.382813935527533
"PPN_182",-1.18462502321283,4.32353544105733,2.21059860149203,-1.87147062794226,-1.49986651522778,4.04947598846757,0.965340682347179,-0.0119103510528081,1.17322538287342,0.143996485868097,1.61027310422738,-2.53265930981864,0.145592101628375,-1.38204495594423,1.27626737710363,1.41270460136141,0.966262913691987,0.177099575783828,1.56240547129896,-1.00367807302327,-1.18462502321283,4.32353544105732,2.21059860149203,-1.87147062794228,-1.49986651522774,4.04947598846756,0.965340682347138,-0.011910351052794,1.17322538287343,0.143996485868142,1.61027310422738,-2.53265930981864,0.14559210162837,-1.38204495594422,1.27626737710364,1.4127046013614,0.966262913691991,0.177099575783866,1.56240547129896,-1.00367807302326
"PPN_183",2.84748704255914,1.73385883277369,-0.360383754018635,0.399557584095994,0.664052236503595,0.229358600727322,-0.163955443718118,-0.686255598194729,-0.045680969910827,0.688262195938309,-1.36181448424203,-1.45775942606274,0.315725856233579,0.0772868610732479,1.31130506961429,-0.494133428946589,-0.10148836338053,-0.416630387358963,0.183454739849725,0.372034615978699,2.84748704255915,1.73385883277369,-0.360383754018634,0.399557584096001,0.66405223650359,0.229358600727324,-0.163955443718127,-0.686255598194727,-0.0456809699108542,0.688262195938315,-1.36181448424203,-1.45775942606274,0.315725856233577,0.07728686107325,1.31130506961428,-0.494133428946602,-0.101488363380536,-0.416630387358954,0.183454739849735,0.3720346159787
"PPN_184",-2.47130645002017,4.67882147538627,1.57745424134503,1.5653705766142,2.00219372946559,1.56663034010669,1.70942387594435,-0.326826741059007,1.19847770113777,0.860032271209515,3.42546281734309,-3.32232078388378,0.15081330400097,-3.72719082265919,1.24112323162876,-0.518546845701074,-0.30370138087342,0.138658639200923,-0.790097071454897,-0.756330571755156,-2.47130645002016,4.67882147538626,1.57745424134504,1.56537057661421,2.00219372946558,1.5666303401067,1.70942387594432,-0.326826741059013,1.19847770113775,0.86003227120958,3.42546281734309,-3.32232078388378,0.150813304000964,-3.72719082265918,1.24112323162875,-0.518546845701087,-0.303701380873407,0.138658639200895,-0.79009707145491,-0.756330571755144
"PPN_186",2.61264101663486,1.86965873420935,0.0405149934008305,0.507272122949168,0.300095497450371,-1.09700878499527,0.187384694815153,-0.299508820833854,-0.387934469707958,-0.104034478216173,-1.25064785125927,-1.20538852602167,-0.63972710300422,0.105600263304258,0.385134519517686,-0.436502079016938,-0.104731578180413,-0.191884958158608,0.135983329491087,0.570741473858048,2.61264101663486,1.86965873420934,0.0405149934008297,0.507272122949177,0.300095497450353,-1.09700878499526,0.187384694815164,-0.299508820833859,-0.38793446970795,-0.104034478216171,-1.25064785125927,-1.20538852602167,-0.639727103004221,0.105600263304261,0.385134519517682,-0.436502079016944,-0.104731578180415,-0.191884958158604,0.135983329491085,0.570741473858046
"PPN_187",1.96897536600836,1.46506787031539,-0.704748873463679,1.22451098615611,1.08190827144382,0.45665785194636,-1.14430067652894,-1.20101894922085,-1.13334058675531,0.380530573460182,-0.747427827073726,-1.34251525140002,1.09029904445871,0.212783894854764,0.806629659487959,-1.21076305262623,-0.563177532126555,-0.393505790623065,0.537478166983453,0.717287559742874,1.96897536600836,1.4650678703154,-0.704748873463687,1.22451098615611,1.08190827144381,0.456657851946366,-1.14430067652894,-1.20101894922084,-1.13334058675532,0.380530573460135,-0.747427827073727,-1.34251525140002,1.09029904445871,0.21278389485476,0.806629659487948,-1.21076305262624,-0.56317753212656,-0.393505790623046,0.53747816698346,0.717287559742876
"PPN_188",3.16923781027642,1.49492337436652,-0.250232797381484,0.139780051264665,-0.755488453986525,-0.0605816586893803,-0.241940569133816,0.338291012344982,-0.901761794689725,0.116272788815012,-2.31070285263902,-0.892060139776845,0.431791833952997,0.347027990263368,0.482843009763438,0.270675317330136,0.367247947070632,0.0395584150049743,0.203913505639788,-0.232178791559654,3.16923781027642,1.49492337436651,-0.25023279738149,0.139780051264662,-0.755488453986526,-0.0605816586893742,-0.241940569133813,0.338291012344984,-0.901761794689717,0.116272788814986,-2.31070285263902,-0.892060139776845,0.431791833952996,0.34702799026337,0.48284300976344,0.27067531733013,0.367247947070634,0.0395584150049869,0.203913505639781,-0.232178791559653
"PPN_189",-0.440868779901345,3.96637494556423,3.5854690740514,1.53534657939457,0.838377669099808,-1.20872886724597,1.56843294532621,2.89540903743196,0.0108944412138568,0.557456614244559,1.89565309953154,-2.17323817535844,-0.33480679086372,-2.21777198918988,-0.317564800736842,1.56910197689559,-0.790786645831094,1.76008014021939,-1.97191697728095,-1.00360455290577,-0.440868779901353,3.96637494556422,3.5854690740514,1.5353465793946,0.838377669099777,-1.20872886724598,1.56843294532625,2.89540903743194,0.0108944412138129,0.557456614244543,1.89565309953154,-2.17323817535844,-0.334806790863725,-2.21777198918988,-0.317564800736832,1.5691019768956,-0.790786645831082,1.76008014021934,-1.97191697728098,-1.00360455290578
"PPN_190",2.1199087362393,1.58677962808009,1.21267765177988,1.89607692662729,0.257335474283218,-0.387582616299394,0.308748990480988,1.20695092484266,0.556521198376626,0.0846364480499988,-0.62624520721335,-1.99007885694646,0.348276052878829,-1.15252647614333,-0.583636528068233,0.169689813295064,0.414222042639712,0.84380281276536,0.268774541495241,1.04836102279054,2.1199087362393,1.58677962808009,1.21267765177988,1.89607692662729,0.257335474283201,-0.387582616299388,0.308748990481004,1.20695092484266,0.556521198376623,0.0846364480500114,-0.626245207213355,-1.99007885694646,0.348276052878826,-1.15252647614334,-0.58363652806823,0.169689813295071,0.414222042639708,0.84380281276537,0.26877454149522,1.04836102279053
