"","X1.2","X3.3","X3.52","X3.77","X4.05","X4.21","X4.42","X4.55","X4.6","X4.87","X4.98","X5.28","X5.53","X5.89","X6.37","X7.1","X7.28","X7.47","X7.58","X7.71","X7.83","X7.93","X8.11","X8.21","X8.3","X8.38","X8.51","X8.69","X8.81","X8.89","X11.64","X11.78"
"PPN_253",1.766589642,55.46204758,2.743574142,16.03591537,672.3540649,87.44425201,7.857457638,32.80873108,NA,30.36565208,23.9519043,19.84934044,8.428185463,6.923389912,20.48070717,1343.385986,107.4073563,57.16781998,9.756802559,14.16368103,40.17844009,NA,NA,12.42063522,18.0548172,NA,4.767270088,2.244878769,2.939299822,4.132256031,NA,2.82086134
"PPN_254",2.051337481,12.92600346,2.213940144,9.775876999,198.3694,10.86677265,6.952301025,9.173574448,4.134048939,26.53258896,15.46215439,11.14956379,7.349415779,2.9428792,6.816841125,407.813446,30.31962204,11.27398753,7.772621632,4.438961029,24.27258682,NA,7.821414471,NA,16.44475937,NA,NA,NA,2.605525017,NA,NA,2.633378267
"PPN_256",NA,21.37273979,2.683794022,12.45053864,480.7764893,13.60315514,8.561694145,15.05470753,8.648700714,10.04504776,20.49955368,9.3505373,9.899801254,4.608150959,12.68583775,864.5053711,50.61585999,16.11111736,9.615589142,18.63610458,13.68859005,12.41727352,6.435654641,NA,10.08434296,7.496531965,5.009675026,1.340055466,2.414705634,2.286475897,NA,2.629455805
"PPN_257",1.596215844,46.67206573,3.623188496,10.65460777,473.3401489,27.86050224,10.82328129,22.31064606,6.64717865,18.77565002,26.79205132,19.52676773,8.806992531,7.804245472,9.954410553,1167.701782,95.25174713,30.49393272,9.541193962,11.72612286,30.75874138,NA,7.667745113,6.372403383,9.386896133,NA,4.31371665,3.759036541,NA,3.305003405,1.231140137,3.125647306
"PPN_258",3.730216503,29.16933632,3.03316617,7.256128788,193.3654633,30.00807762,9.175504684,11.39103031,7.571386337,23.43684196,20.41060257,15.45442581,11.90378761,13.55000687,NA,551.2886353,52.19462204,38.59220505,NA,18.47272682,36.42621994,NA,9.957375526,13.650635,22.79575157,NA,5.99762249,6.080751419,NA,3.859752178,2.178959787,3.201780796
"PPN_259",1.836979985,51.92163849,4.245182037,27.49025917,842.8269653,103.0246658,12.05904198,32.34215927,NA,28.97931099,33.50285339,20.27366257,10.35776615,8.388581276,13.9934597,1247.628052,77.57553864,36.24876357,14.84128857,18.93130302,24.14300919,14.3775816,14.99859047,NA,17.64112663,NA,5.280085087,3.290819883,NA,4.539339542,1.361827493,3.367856979
"PPN_260",2.638369799,29.55861092,2.61396265,6.224360943,254.6093903,23.29163551,10.14366627,12.02761364,5.188914299,21.60916328,21.37867928,6.647883177,6.798506737,5.072724342,7.863188744,719.244812,50.47480011,18.90693283,7.535606384,9.265084267,12.62617683,6.390781403,7.373931408,NA,9.384472847,6.301112414,1.295079708,1.682319045,NA,2.15374136,1.22503674,3.229398012
"PPN_261",4.996297836,45.44343185,4.040005207,23.64529419,1059.304565,40.495121,12.46505165,25.69322968,11.60484028,36.57274246,24.80205345,18.99972725,12.86623001,8.516695023,23.30625534,1728.645508,78.13323212,30.10011816,13.86883831,22.08889771,24.00554657,14.34526539,18.43294144,NA,14.5579834,10.42592764,NA,1.955990195,4.012393356,5.164589882,1.301952362,3.290509939
"PPN_262",7.188827515,77.79247665,NA,37.5524807,1293.151001,83.52396011,10.6534977,28.20775604,15.87491894,50.00518227,20.90049648,17.07513142,15.86651182,12.41152334,6.14778137,1444.630737,74.14222336,29.19853496,21.95916557,17.58064366,36.99588013,12.68327046,13.50439453,14.25848007,13.26173306,7.267305255,5.779234052,3.532970548,4.539051891,7.606215954,1.062357486,3.126927018
"PPN_263",5.945106983,23.97432327,4.571892738,8.789927483,412.6386414,13.30504322,12.62575626,10.98335648,9.989473343,13.03840446,21.42489243,11.18914986,13.48048878,7.502698421,NA,736.2359619,37.03373718,16.06413365,11.50118637,19.7031498,14.43577576,12.47984219,7.76864791,8.713840485,14.54951096,NA,NA,NA,2.294784546,1.599300385,0.953736544,3.157660484
