Line_PPN,CORE12,FreshMass,DryMass,WaterContent,LeafArea,Perimeter,AspectRatio,Circularity,Solidity,LMA,LaminaThickness,LaminaDensity,LaminaToughness,ChlorophyllContent _SPAD,ChlorophyllContent_areabasis,ChlorophyllContent_massbasis,TrichomeDensity,AshContent,TotalPhenolics,TotalFlavonoids,LES_PC1
PPN_067,NON-CORE,1.34,0.17,6.93,41,42.81,1.67,0.29,0.75,41.41,0.42,0.1,21.33,41.77,490.17,11.87,506.67,11.6,0.72,1,-1.255609404
PPN_068,NON-CORE,1.78,0.28,5.27,59.28,42.18,1.51,0.42,0.83,48.12,0.38,0.13,22.33,42.87,516.26,10.96,313.33,11.1,0.78,0.94,0.21269604
PPN_069,NON-CORE,1.3,0.25,4.35,47.09,34.55,1.45,0.5,0.85,52.78,0.42,0.13,28,39.67,449.73,8.65,550.67,,0.77,0.87,1.886183161
PPN_070,NON-CORE,1.44,0.23,5.58,46.7,36.52,1.58,0.44,0.84,49.11,0.38,0.13,29.23,34.23,355.5,7.61,509.33,16.1,0.94,0.83,0.559851193
PPN_071,NON-CORE,2.15,0.42,4.15,69.33,45.87,1.36,0.4,0.81,58.96,0.5,0.12,31.13,33.63,348.3,5.99,384,7.1,0.66,0.72,3.313977963
PPN_072,NON-CORE,1.85,0.39,3.92,61.06,40.39,1.24,0.48,0.86,63.19,0.34,0.18,25.23,39.07,439.28,7.14,462.67,6.43,0.78,0.74,3.540568695
PPN_073,NON-CORE,1.73,0.27,5.57,53.98,41.71,1.33,0.39,0.82,48.73,0.48,0.1,29.77,35.7,379.41,7.96,698.67,9.3,1.12,1.03,1.331506096
PPN_074,NON-CORE,1.34,0.24,4.51,50.82,38.37,1.27,0.42,0.81,49.44,0.39,0.13,26.33,39.93,455.57,9.73,508,8.2,1.21,0.92,1.440325642
PPN_075,NON-CORE,4.4,0.66,4.97,121.34,56.43,1.2,0.43,0.86,68.06,0.45,0.15,24.33,40.57,465.83,7.87,397.33,11.9,1.66,0.7,2.326887648
PPN_076,NON-CORE,1.53,0.3,4.04,53.93,40.95,1.32,0.4,0.83,55.7,0.41,0.14,29,31.63,314.58,5.67,642.67,9.3,0.86,0.64,2.82513298
PPN_077,NON-CORE,2.5,0.32,7.48,69.49,50.86,1.29,0.37,0.78,45.43,0.31,0.15,27.57,43.87,529.93,12.99,356,12.1,1.14,1.69,-0.67736695
PPN_078,NON-CORE,1.43,0.18,7.45,50.46,31.42,1.42,0.61,0.93,33.54,0.38,0.09,21.43,37.2,405.41,12.18,485.33,16.1,0.95,1.83,-2.633312022
PPN_079,NON-CORE,2.35,0.36,5.6,75.4,44.95,1.49,0.47,0.86,47.32,0.36,0.14,34.2,45.07,554.07,11.78,373.33,10.8,1.38,2.02,0.943660395
PPN_080,NON-CORE,1.84,0.23,7.32,61.47,39.38,1.48,0.5,0.85,36.67,0.41,0.09,24.33,46.67,587.33,16.27,450.67,15.03,0.98,1.41,-2.63869904
PPN_081,NON-CORE,2.09,0.26,7.16,66,43.7,1.43,0.44,0.84,38.69,0.38,0.1,25.1,42.4,500.97,12.95,390.67,13.87,1.31,1.88,-1.669477163
PPN_082,NON-CORE,1.43,0.16,7.72,60.33,37.09,1.33,0.56,0.89,28.37,0.47,0.06,21.87,39.73,450.4,16.57,358.67,16.1,0.78,1.39,-3.807844844
PPN_083,NON-CORE,3.03,0.47,5.47,88.32,50.47,1.62,0.44,0.86,53.04,0.5,0.11,37.57,50.13,666.9,12.66,653.33,10.73,1.33,1.76,1.555275044
PPN_084,NON-CORE,1.49,0.18,7.5,49.86,35.96,1.64,0.48,0.88,35.05,0.52,0.07,23.33,42.47,503.14,14.4,458.67,15.97,1.06,1.61,-2.690439292
PPN_085,NON-CORE,1.68,0.22,7.72,57.66,34.21,1.39,0.58,0.89,34.26,0.35,0.11,24,36.5,394.75,11.66,200,15.45,1.16,1.66,-2.22389055
PPN_086,NON-CORE,2.23,0.27,7.27,70.87,41.74,1.39,0.51,0.86,37.87,0.41,0.1,29.9,43.73,528.01,14.03,392,14.4,1.16,1.57,-1.637119989
PPN_087,NON-CORE,2.6,0.36,6.4,84.4,45.2,1.55,0.52,0.9,41.8,0.41,0.1,27.67,45.4,560.98,13.67,481.33,11.4,1.06,1.43,-0.774260552
