"","X1.2","X3.3","X3.52","X3.77","X4.05","X4.21","X4.42","X4.55","X4.6","X4.87","X4.98","X5.28","X5.53","X5.89","X6.37","X7.1","X7.28","X7.47","X7.58","X7.71","X7.83","X7.93","X8.11","X8.21","X8.3","X8.38","X8.51","X8.69","X8.81","X8.89","X11.64","X11.78"
"PPN_215",0.00211208146579541,0.00177964792070473,NA,0.00106315298136424,0.0010321079364084,0.000520377328430406,0.00141711677993833,0.00161444258765687,0.00151472767164396,0.00118665645058445,0.00121874378432716,0.00183298797488029,0.00239424362725874,0.0016634750952294,0.00327562433408948,0.00151065624232989,0.00196943106090507,0.000899573517472647,0.00164070803022517,0.0015721162356041,0.00135192222198114,0.00211056050668964,NA,0.00199647639183612,0.00252318683177274,0.0029262664317108,NA,0.00176945330380725,0.00187359531600275,0.00195963556996494,0.0037396959760432,0.00585112967745594
"PPN_216",0.00447153217668972,0.00553015781166259,0.00633724497008498,0.00556183295377018,0.00372690856217451,0.00782744398096117,0.00485470789789268,0.00425753183464051,0.00577448766440715,0.00876639369974667,0.00637222103773469,0.00482072337429604,0.00696995271652582,0.00651448020462976,0.00574667695914536,0.00389019531614768,0.00464207596210421,0.00438401794393369,0.00454982472672456,0.00485249135323439,0.00761383366477656,NA,0.00654105816797477,NA,0.00597305788217171,0.00491172147919026,0.00742235195293107,NA,0.00856257551990038,NA,NA,0.00440457198701091
"PPN_217",0.00687758707780252,0.0046372965778593,0.00772070181183003,0.0059746678283298,0.00409898465047952,0.00320599418351359,0.00497040681561476,0.00433827803493562,0.00454502443822708,0.00569325157999417,0.00641011769399414,0.00502264392328038,0.00767970905900943,0.00521294239289723,0.00819617362993291,0.00320317301825372,0.0039051968066643,0.00349764576520417,0.00458545670842637,0.00403505624374201,0.00358972640414014,0.00455347446118772,0.00670364999686146,NA,0.00995295073298117,0.00551855564242568,0.00707743850965866,NA,NA,0.00892701791381907,0.00286662196156372,0.00489375911025154
"PPN_218",0.00340844888875946,0.000730819844140044,0.0037062877381676,0.000364549550606745,0.000144747492637928,0.000244754650252802,0.00256255647227669,0.000922930917534732,0.00163984397124055,0.000599158646842098,0.00114207304693365,0.000736267631327586,0.0020163123128294,0.00221646071461335,0.0020202231518168,0.00045413785495931,0.00127761245559352,0.000902045563761138,NA,0.00151801360673843,0.00153313394234025,0.00158009740650123,0.0018438937623348,NA,0.00375113255036826,0.00401975507694748,NA,NA,0.0013356208216336,0.00211288506304742,0.00276897666639944,0.00541467214107584
"PPN_219",0.00194042601951722,0.00337845720713393,0.00419271968820508,0.00331446921693139,0.00326554402930957,0.00332008929403021,0.00235577816487195,0.00308084707386575,0.00390983917748263,0.00348389763458191,0.00353525921929337,0.00331719318638697,0.00459210625745033,0.00419731624910477,NA,0.00303704239658621,0.00357363511430587,0.00251176879641445,0.00267184119110605,0.00299466321401723,0.00544713070310537,NA,NA,0.00344495809451741,0.0050964187457923,0.00350801230827085,NA,0.00249556689869129,0.00403315115658408,0.00597674620211218,NA,0.00642767067866282
"PPN_220",0.00132403396973636,0.00318114065370904,0.00513519533508575,0.00460228742404801,0.00408203001627468,0.00288493054873503,0.00303484398849513,0.00246893341933534,0.00331640522517689,0.00345298526770844,0.00374875426865526,0.00334373905257375,0.00438984110388323,0.00353196321822987,0.00642677221450866,0.00350120058260789,0.00366205923322682,0.00420556292081834,0.00304689118491985,0.00338969096549384,0.00354691589817268,0.00336173378717253,NA,0.00395081596643136,0.00482922574448704,0.00569581731191116,NA,NA,0.00464964547421078,0.00657526828161369,0.00313297840611132,0.00459671606439312
"PPN_222",0.00638623320990442,0.00399351064035679,0.00683975447058345,0.00393623119768906,0.0025964288973189,0.00346068257326066,0.00413239905950206,0.00366305967960475,0.00517789156219252,0.00539011149110838,0.00600531047594515,0.00497232877422861,0.00826419594182397,0.00821104618968322,0.00888104816135444,0.0031183536315287,0.0043333853840593,0.00231858368018494,0.00478955167637724,0.00428259383598593,0.00397937576458909,0.00662066106775528,NA,0.0061426032527288,0.0134932292289418,NA,NA,0.00414243819254746,0.00762328140426725,0.00926140770719228,NA,0.00386107012342463
"PPN_223",0.00166960520298746,0.00330267754967703,0.00352376688137337,0.00330392384553594,0.00214771611958177,0.00353707216884442,0.00469526741394323,0.00407120420916781,NA,0.00348727741780948,0.00434794786283143,0.00337382049861859,0.00572227230801408,0.00522183383811527,NA,0.00268185504853056,0.00368078273699265,0.00291414178360713,0.00203836114109716,0.002176046353112,0.00725948071929883,NA,NA,0.00289578872179092,0.00630787342838693,0.0072083937944169,NA,NA,0.00245697392635305,0.0053685619926331,NA,0.00396749796022468
"PPN_225",0.00237821165230166,0.00434954836309612,NA,0.00336615850498084,0.00391882892120708,0.00455031657741001,0.00318608317537647,0.00357212730438752,0.00648651587861378,0.00971820222020552,0.00374569919376622,0.00486152326482013,0.00605537285322202,0.00335324364048751,0.0095887631564082,0.00455790889271565,0.00458581246558463,0.00486606928051607,0.00341433355377058,0.00583744240167294,0.00751974916324368,0.00527271021018806,NA,0.00605425993752894,0.00692069016984469,0.00816463596036597,NA,NA,0.00607369934296167,0.00835438105060446,0.00298761809071735,0.00462173244896249
"PPN_226",0.00408212349442387,0.00455669474209259,NA,0.00882322254606485,0.00558625669244823,0.00266020483025799,0.00375321707777512,0.00322788763430159,0.0040500378660438,0.00327792034330659,0.00356405720102261,0.0030414900362069,0.00620295587137999,0.00569935625665651,NA,0.00426010726770357,0.0038442125076449,0.00313490960402512,0.00359229047779513,0.00285275667801686,0.00275320249366799,0.00268016494096491,0.00404676815927659,NA,0.00501179585679136,0.00530166116769669,0.00226647900921136,0.00169090786011182,0.00279633789935615,0.00339427551499742,NA,0.00388090205044611
"PPN_227",0.00469619831414956,0.00449667030992021,0.0067345556123064,0.00528959408010435,0.00646656353356594,0.00616791056054637,0.00355234889340631,0.00475653527341114,0.00483982186350572,0.00521060779516625,0.00376974381983653,0.00378860346478503,0.00464365775718528,0.00502791695025936,0.00708303847299518,0.00415692798332385,0.00375073580258405,0.00554209566676388,0.00264315344581324,0.00369937287402881,0.0034539498564742,0.00270835065700057,0.00419444547762818,NA,0.0051813638663789,0.00554445399592494,0.00415679998519328,NA,NA,0.00604487847472036,0.00251157940940298,0.00463871923565626
"PPN_228",0.00280221932116863,0.00446572585530656,0.00466569719494862,0.00318188051422378,0.00304020998697826,0.00297750227602217,0.00315515102768513,0.00469263542313486,NA,0.00304539604070565,0.00413853484305501,0.00338440571439882,0.00350664556325553,0.00428284964299981,0.00408976307726347,0.00294131968769003,0.00380764630491901,0.00318574003991791,0.00296200910111185,0.00244753831208428,0.00480007562110931,NA,0.00227137052986543,NA,0.00581741051247819,0.00293774053907151,0.00343987468498945,0.00382341857368364,NA,0.00712394345915815,NA,0.00416835620405532
"PPN_229",0.00333003026820101,0.000782356291386269,0.00289307657170238,0.000750208557881332,0.000572069666343022,0.000625483750059817,0.00189535407424338,0.000913138927521652,0.00185827257797811,0.00438422686275777,0.00173886469527228,0.00177906267610036,0.00149206837484184,0.00216177072230581,NA,0.000795536583675078,0.00114114743251115,0.00116120345832197,0.00182221253169148,0.00153320557404881,0.00144304988923167,0.00159220333076018,0.00252982059166236,NA,0.00183912684768637,0.00230240366767533,0.00168914377001754,0.00239397757490653,NA,0.00415268895680155,NA,0.00421385447247381
"PPN_230",0.00447549172293619,0.00216614530992231,0.00387566588193166,0.00187934438938617,0.00201673997757219,0.002173207577974,0.00307545722210284,0.00175566982557451,0.00275111328036477,0.00384803461100515,0.00293931619069268,0.00278640259001471,0.00553072557310665,0.00307711226805554,0.00576080486676008,0.0027608608402616,0.00254220625153002,0.00379106778697491,0.00280968981231981,0.0038452584302818,0.00273916607791891,0.00434081425905796,0.00542228135729898,NA,0.0076494609377853,NA,0.00394018281895734,0.00568426121019448,0.0056530572400666,0.00424045399295076,NA,0.00387240276139408
"PPN_231",0.00758337880347869,0.00239231719720915,0.00523181334724234,0.00272682020151744,0.00233990555979604,0.00244554502060348,0.00376466677082019,0.0040190388855791,NA,0.00409361336715554,0.00353717337176319,0.00267505944936707,0.00314145920167897,0.00394972723191934,0.00683332392718508,0.00347494286212494,0.00404585370588764,0.00188832662991022,0.00249675257103165,0.00228548524973659,0.00226832757810319,0.00205743171362397,0.00172821668219171,NA,0.00352818650529665,0.00417205676478846,0.00247306045620867,0.00373322059611104,NA,0.00290580382922751,NA,0.00392416748803308
"PPN_232",0.0039714570205198,0.00124514031516269,0.00372702599286421,0.00104844773048287,0.000512091384927249,0.000548134132559726,0.00272735279053574,0.00147973532070831,0.00202990040672124,0.00189108587091335,0.00402562767114796,0.00225396166663522,0.00432060255802398,0.00316584117629353,0.00490927766212166,0.0010074843345881,0.00232227420040133,0.00151561510008656,NA,0.002580587040686,0.00182442872662459,0.00160162077351757,0.00153906799168297,NA,0.00319966085391952,0.00199140351320109,NA,0.00288432135899456,NA,0.00176176394433818,NA,0.00370287033551356
"PPN_233",0.00413736407090339,0.000822212156419862,0.00123827898898432,0.000537512676769431,0.000390317729004277,0.000755825110971042,0.00167846828113193,0.000916529263306231,0.00106736754722664,0.00136787400224785,0.0011386238689704,0.0011753663723915,0.00219308023358302,0.0014645271287843,0.00225709151202594,0.00086925116338606,0.00143373747026641,0.000794952822063131,0.00112740932237533,0.00124737086459933,0.00140696445943648,0.00156852405193176,0.00201417132487077,NA,0.00200587951097239,0.00334754476509956,NA,0.00257565253132133,NA,0.00281341092478739,NA,0.00384036765629782
"PPN_234",0.00455732628404588,0.00258405072317152,0.00341309157963064,0.00207074200335586,0.00108035423539206,0.00261585454523036,0.00245770140744606,0.00172198180695117,0.00264234207280479,0.00372620640425839,0.00202295173462435,0.00253036338353843,0.00236477991418066,0.00371458464487122,NA,0.00158209455664866,0.00188936810249991,0.00178153637263604,0.00204725302909723,0.00196966836423134,0.00195530455261688,0.00229012044402387,0.00309541109704629,NA,0.00289024269820888,0.0031911840548952,NA,0.00217707280592199,NA,0.00169250873487944,NA,0.0038114252760518
"PPN_235",0.00474269346652757,0.00173094950726606,0.00324131399388918,0.0011337920395872,0.000727157058942512,0.00067472863911116,0.00217441270274229,0.00102469011431093,0.0012947965467496,0.00227740820835073,0.00152768819554539,0.00178106464700874,0.00302782649152852,0.00195503145059252,0.00162214425457749,0.00136412424526657,0.00185509846845596,0.000934480628236335,0.00111236999655159,0.00153450782802682,0.00153360359847867,0.00185589240134856,0.00210310665254684,NA,0.0032293899378058,0.00242635989661894,0.0018621587949073,0.00323439912465214,NA,0.00322743592196277,NA,0.004080966194158
"PPN_237",0.00435726444369959,0.00100934651481957,0.00230537457336956,0.000863711124561373,0.000452056058810395,0.000644930163730298,0.00175433516734214,0.000762954657214091,0.00137786834997232,0.00212024084581505,0.0021495599512678,0.00190843387484704,0.00273080387569494,0.00301847532262143,NA,0.000841009786347298,0.00130475714537209,0.00140895631586662,0.00105764099440037,0.00158695408973792,0.0016069614067573,0.00202896166902282,0.00277905340311991,NA,0.003882820896422,NA,NA,0.00182657382399319,0.00295100133580564,NA,NA,0.00377387103324093
"PPN_238",0.001613928763166,0.00196942596890827,0.0026056379037574,0.00174195783438918,0.0013430852957622,0.000949676555033207,0.0023973636035109,0.00198959475501274,0.00184671009015853,0.00193601407910809,0.00211221670189353,0.00198779956551962,0.00305877420988893,0.00196364544673539,NA,0.00145636537089408,0.00197698182556512,0.0010395485352131,0.00189973586998174,0.00178041063158595,0.00139978939736325,0.00170148870373787,NA,0.00187570954263991,0.00257067952306076,0.00187882623727254,NA,0.00116602213536818,0.00179388482716669,0.0020183695547333,0.00337535712736999,0.00512419904347407
